,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date,booking_date
40060,City Hotel,0,6,2015,7,27,1,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,0.0,0,0,Check-Out,2015-07-03,2015-07-01,2015-06-25
40061,City Hotel,1,88,2015,7,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,1,Canceled,2015-07-01,2015-07-01,2015-04-04
40062,City Hotel,1,65,2015,7,27,1,0,4,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,68.0,0,1,Canceled,2015-04-30,2015-07-01,2015-04-27
40063,City Hotel,1,92,2015,7,27,1,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,2,Canceled,2015-06-23,2015-07-01,2015-03-31
40064,City Hotel,1,100,2015,7,27,2,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,1,Canceled,2015-04-02,2015-07-02,2015-03-24
40065,City Hotel,1,79,2015,7,27,2,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,1,Canceled,2015-06-25,2015-07-02,2015-04-14
40066,City Hotel,0,3,2015,7,27,2,0,3,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,58.67,0,0,Check-Out,2015-07-05,2015-07-02,2015-06-29
40067,City Hotel,1,63,2015,7,27,2,1,3,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,68.0,0,0,Canceled,2015-06-25,2015-07-02,2015-04-30
40068,City Hotel,1,62,2015,7,27,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,76.5,0,1,No-Show,2015-07-02,2015-07-02,2015-05-01
40069,City Hotel,1,62,2015,7,27,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,76.5,0,1,No-Show,2015-07-02,2015-07-02,2015-05-01
40070,City Hotel,0,43,2015,7,27,3,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0,Check-Out,2015-07-05,2015-07-03,2015-05-21
40071,City Hotel,0,43,2015,7,27,3,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,43.0,0,0,Check-Out,2015-07-05,2015-07-03,2015-05-21
40072,City Hotel,0,43,2015,7,27,3,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0,Check-Out,2015-07-05,2015-07-03,2015-05-21
40073,City Hotel,0,4,2015,7,27,3,0,2,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,63.0,0,0,Check-Out,2015-07-05,2015-07-03,2015-06-29
40074,City Hotel,1,43,2015,7,27,3,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0,Canceled,2015-06-29,2015-07-03,2015-05-21
40075,City Hotel,0,43,2015,7,27,3,0,2,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,63.0,0,0,Check-Out,2015-07-05,2015-07-03,2015-05-21
40076,City Hotel,1,43,2015,7,27,3,0,2,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,63.0,0,0,Canceled,2015-06-16,2015-07-03,2015-05-21
40077,City Hotel,0,43,2015,7,27,3,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0,Check-Out,2015-07-05,2015-07-03,2015-05-21
40078,City Hotel,0,43,2015,7,27,3,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0,Check-Out,2015-07-05,2015-07-03,2015-05-21
40079,City Hotel,1,43,2015,7,27,3,0,2,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,63.0,0,0,Canceled,2015-06-29,2015-07-03,2015-05-21
40080,City Hotel,1,43,2015,7,27,3,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0,Canceled,2015-06-16,2015-07-03,2015-05-21
40081,City Hotel,1,97,2015,7,27,3,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,13.0,,0,Transient,63.75,0,1,Canceled,2015-06-30,2015-07-03,2015-03-28
40082,City Hotel,0,43,2015,7,27,3,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0,Check-Out,2015-07-05,2015-07-03,2015-05-21
40083,City Hotel,0,43,2015,7,27,3,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0,Check-Out,2015-07-05,2015-07-03,2015-05-21
40084,City Hotel,1,80,2015,7,27,3,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,1,Canceled,2015-04-17,2015-07-03,2015-04-14
40085,City Hotel,0,60,2015,7,27,3,2,5,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11.0,,0,Transient,60.27,0,0,Check-Out,2015-07-10,2015-07-03,2015-05-04
40086,City Hotel,1,106,2015,7,27,4,1,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,68.0,0,0,Canceled,2015-06-01,2015-07-04,2015-03-20
40087,City Hotel,1,68,2015,7,27,4,2,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,68.0,0,0,Canceled,2015-06-23,2015-07-04,2015-04-27
40088,City Hotel,1,92,2015,7,27,4,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,76.5,0,1,Canceled,2015-06-15,2015-07-04,2015-04-03
40089,City Hotel,0,18,2015,7,27,4,2,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,60.0,0,0,Check-Out,2015-07-08,2015-07-04,2015-06-16
40090,City Hotel,1,71,2015,7,28,5,2,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11.0,,0,Transient,55.8,0,0,Canceled,2015-06-30,2015-07-05,2015-04-25
40091,City Hotel,1,85,2015,7,28,5,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,52.36,0,0,Canceled,2015-06-20,2015-07-05,2015-04-11
40092,City Hotel,1,92,2015,7,28,5,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,49.74,0,0,Canceled,2015-07-03,2015-07-05,2015-04-04
40093,City Hotel,1,75,2015,7,28,6,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,1,Canceled,2015-06-20,2015-07-06,2015-04-22
