date,resort algarve,algarve hotel,is_holiday_pt,holiday_name,year,month,day,weekday,is_weekend,trend_mean,is_before_holiday,is_after_holiday
2013-06-23,17,59,False,,2013,6,23,6,True,38.0,False,False
2013-06-30,16,66,False,,2013,6,30,6,True,41.0,False,False
2013-07-07,15,68,False,,2013,7,7,6,True,41.5,False,False
2013-07-14,14,74,False,,2013,7,14,6,True,44.0,False,False
2013-07-21,16,67,False,,2013,7,21,6,True,41.5,False,False
2013-07-28,17,93,False,,2013,7,28,6,True,55.0,False,False
2013-08-04,15,85,False,,2013,8,4,6,True,50.0,False,False
2013-08-11,16,78,False,,2013,8,11,6,True,47.0,False,False
2013-08-18,12,56,False,,2013,8,18,6,True,34.0,False,False
2013-08-25,15,48,False,,2013,8,25,6,True,31.5,False,False
2013-09-01,8,35,False,,2013,9,1,6,True,21.5,False,False
2013-09-08,4,25,False,,2013,9,8,6,True,14.5,False,False
2013-09-15,6,23,False,,2013,9,15,6,True,14.5,False,False
2013-09-22,4,16,False,,2013,9,22,6,True,10.0,False,False
2013-09-29,3,13,False,,2013,9,29,6,True,8.0,False,False
2013-10-06,3,12,False,,2013,10,6,6,True,7.5,False,False
2013-10-13,0,9,False,,2013,10,13,6,True,4.5,False,False
2013-10-20,0,13,False,,2013,10,20,6,True,6.5,False,False
2013-10-27,0,10,False,,2013,10,27,6,True,5.0,False,False
2013-11-03,3,10,False,,2013,11,3,6,True,6.5,False,False
2013-11-10,0,12,False,,2013,11,10,6,True,6.0,False,False
2013-11-17,0,8,False,,2013,11,17,6,True,4.0,False,False
2013-11-24,0,11,False,,2013,11,24,6,True,5.5,False,False
2013-12-01,0,13,False,,2013,12,1,6,True,6.5,True,False
2013-12-08,0,9,True,Immaculate Conception,2013,12,8,6,True,4.5,False,False
2013-12-15,0,10,False,,2013,12,15,6,True,5.0,False,True
2013-12-22,0,14,False,,2013,12,22,6,True,7.0,False,False
2013-12-29,3,14,False,,2013,12,29,6,True,8.5,False,False
2014-01-05,0,14,False,,2014,1,5,6,True,7.0,False,False
2014-01-12,0,15,False,,2014,1,12,6,True,7.5,False,False
2014-01-19,0,14,False,,2014,1,19,6,True,7.0,False,False
2014-01-26,3,17,False,,2014,1,26,6,True,10.0,False,False
2014-02-02,5,16,False,,2014,2,2,6,True,10.5,False,False
2014-02-09,6,24,False,,2014,2,9,6,True,15.0,False,False
2014-02-16,4,24,False,,2014,2,16,6,True,14.0,False,False
2014-02-23,5,19,False,,2014,2,23,6,True,12.0,False,False
2014-03-02,0,24,False,,2014,3,2,6,True,12.0,False,False
2014-03-09,8,29,False,,2014,3,9,6,True,18.5,False,False
2014-03-16,8,32,False,,2014,3,16,6,True,20.0,False,False
2014-03-23,6,30,False,,2014,3,23,6,True,18.0,False,False
2014-03-30,10,32,False,,2014,3,30,6,True,21.0,False,False
2014-04-06,9,41,False,,2014,4,6,6,True,25.0,False,False
2014-04-13,8,37,False,,2014,4,13,6,True,22.5,True,False
2014-04-20,11,48,True,Easter Sunday,2014,4,20,6,True,29.5,False,False
2014-04-27,8,44,False,,2014,4,27,6,True,26.0,False,True
2014-05-04,9,43,False,,2014,5,4,6,True,26.0,False,False
2014-05-11,10,48,False,,2014,5,11,6,True,29.0,False,False
2014-05-18,10,41,False,,2014,5,18,6,True,25.5,False,False
2014-05-25,11,51,False,,2014,5,25,6,True,31.0,False,False
2014-06-01,11,57,False,,2014,6,1,6,True,34.0,False,False
2014-06-08,8,54,False,,2014,6,8,6,True,31.0,False,False
2014-06-15,15,55,False,,2014,6,15,6,True,35.0,False,False
2014-06-22,11,55,False,,2014,6,22,6,True,33.0,False,False
2014-06-29,12,59,False,,2014,6,29,6,True,35.5,False,False
2014-07-06,13,64,False,,2014,7,6,6,True,38.5,False,False
2014-07-13,13,68,False,,2014,7,13,6,True,40.5,False,False
2014-07-20,12,75,False,,2014,7,20,6,True,43.5,False,False
2014-07-27,13,86,False,,2014,7,27,6,True,49.5,False,False
2014-08-03,21,100,False,,2014,8,3,6,True,60.5,False,False
2014-08-10,16,89,False,,2014,8,10,6,True,52.5,False,False
2014-08-17,12,73,False,,2014,8,17,6,True,42.5,False,False
2014-08-24,9,51,False,,2014,8,24,6,True,30.0,False,False
2014-08-31,9,45,False,,2014,8,31,6,True,27.0,False,False
2014-09-07,4,25,False,,2014,9,7,6,True,14.5,False,False
2014-09-14,6,17,False,,2014,9,14,6,True,11.5,False,False
2014-09-21,4,17,False,,2014,9,21,6,True,10.5,False,False
2014-09-28,0,17,False,,2014,9,28,6,True,8.5,False,False
2014-10-05,0,15,False,,2014,10,5,6,True,7.5,False,False
2014-10-12,0,15,False,,2014,10,12,6,True,7.5,False,False
2014-10-19,5,14,False,,2014,10,19,6,True,9.5,False,False
